Voltage (V),Current (A),Power (W)
0.719313,0.0,0.0
0.719313,0.0,0.0
0.069063,5.301457,0.366134524791
0.071598,5.300616,0.37951350436799997
0.072769,5.301281,0.385768917089
0.073658,5.305469,0.39079023560200005
0.074296,5.304059,0.394070367464
0.074755,5.305148,0.39658633874
0.077319,5.300416,0.40982286470400003
0.08608,5.283272,0.45478405376000003
0.094129,5.263668,0.495463805172
0.105779,5.235658,0.5538226675819999
0.113621,5.210096,0.591976317616
0.125953,5.167919,0.6509149018070001
0.13418,5.133558,0.6888208124399999
0.145608,5.089812,0.741117345696
0.154369,5.051944,0.7798635433359999
0.166005,4.99938,0.8299220769000001
0.174276,4.960038,0.8644155824879999
0.18394,4.907556,0.9026958506399999
0.191974,4.860854,0.9331575857959999
0.203581,4.791499,0.975458157919
0.212237,4.737343,1.005439466291
0.223473,4.665545,1.042623337785
0.232307,4.606536,1.070130558552
0.243143,4.530062,1.101452864866
0.251725,4.471061,1.125477830225
0.263139,4.390807,1.155392563173
0.270951,4.32974,1.17314738274
0.283328,4.231669,1.1989503144320002
0.295142,4.138723,1.221510983666
0.303872,4.067222,1.235914883584
0.311951,3.988073,1.244083360423
0.323186,3.694469,1.194000658234
0.331635,3.505878,1.16267185053
0.342945,3.847713,1.319553934785
0.350979,3.748721,1.315722347859
0.362422,3.670766,1.330366355252
0.371939,3.57352,1.32913145528
0.383471,3.495476,1.340413677196
0.391312,3.427907,1.341381143984
0.40237,3.325768,1.33818927016
0.4103,3.253898,1.3350743494
0.422989,3.134086,1.325683903054
0.430593,3.059958,1.317596495094
0.442421,2.943326,1.302189232246
0.450767,2.82839,1.27494487513
0.462669,2.743316,1.269247270404
0.470674,2.634579,1.240027836246
0.482073,2.547847,1.2282482468309999
0.490433,2.425548,1.189568782284
0.502217,2.34074,1.17555942058
0.510518,2.255147,1.1512931361460002
0.521235,2.14304,1.1170274544
0.529861,2.016144,1.0682760759840002
0.541972,1.929541,1.045757194852
0.550199,1.836509,1.0104454152909998
0.562472,1.703743,0.958307732696
0.57101,1.610863,0.91981888163
0.582038,1.492486,0.868683566468
0.590695,1.39963,0.8267544428499999
0.60193,1.276497,0.7683618392099999
0.61075,1.18039,0.7209231925
0.622282,1.052108,0.654707870456
0.630998,0.960557,0.606109545886
0.6421,0.8323,0.53441983
0.65089,0.734935,0.47836184215
0.661844,0.612387,0.405304661628
0.670501,0.514406,0.344909737406
0.681781,0.387077,0.263901744137
0.690556,0.287677,0.198657078412
0.701555,0.160724,0.11275672582000001
0.710627,0.057792,0.041068555584
0.71534,0.003295,0.0023570453
0.715459,0.000357,0.000255418863
0.715325,0.000205,0.000146641625
0.715355,0.000189,0.000135202095
0.715281,0.000117,8.368787699999999e-05
0.715207,0.000221,0.000158060747
0.715088,0.000101,7.222388799999999e-05
0.714969,0.000237,0.00016944765299999997
0.714895,0.000109,7.7923555e-05
0.714792,0.000149,0.00010650400799999999
0.714718,0.000221,0.000157952678
0.714688,0.000181,0.000129358528
0.714629,0.000125,8.932862499999999e-05
0.714599,0.000117,8.3608083e-05
0.714584,0.000133,9.503967200000001e-05
0.714466,0.000189,0.00013503407400000002
0.714347,8.5e-05,6.0719495e-05
0.714273,6.9e-05,4.9284837e-05
0.714273,0.000221,0.00015785433300000002
0.714243,0.000109,7.7852487e-05
0.714199,0.000101,7.213409900000001e-05
0.714125,0.000117,8.3552625e-05
0.713977,0.000189,0.00013494165300000001
0.713947,0.000253,0.00018062859100000003
0.713843,0.000221,0.000157759303
0.713665,0.000213,0.000152010645
0.713502,0.000341,0.000243304182
0.713413,0.000205,0.000146249665
