Voltage (V),Current (A),Power (W)
0.708877,0.0,0.0
0.708877,0.0,0.0
0.075007,5.357279,0.40183342595300003
0.075066,5.359521,0.402317803386
0.075126,5.367882,0.403267503132
0.0752,5.36982,0.403810464
0.075289,5.363661,0.40382467302899994
0.075452,5.367433,0.40498355471600006
0.076815,5.373302,0.41275019312999994
0.086717,5.354396,0.46431715793200007
0.095181,5.336603,0.507943210143
0.105424,5.313324,0.560151869376
0.113828,5.287251,0.601837206828
0.125775,5.252153,0.660589543575
0.133187,5.225872,0.696018214064
0.144971,5.186458,0.751886002718
0.153672,5.142343,0.790234133496
0.164967,5.110064,0.842991927888
0.172942,5.073805,0.8774739843100001
0.18351,5.01972,0.9211688172000001
0.190462,4.97647,0.94782842914
0.202869,4.90834,0.99575002746
0.210725,4.85605,1.02329113625
0.222628,4.781817,1.064566355076
0.230084,4.733547,1.089113427948
0.242046,4.65335,1.1263247540999999
0.250376,4.593916,1.150206312416
0.262294,4.508873,1.1826503346620003
0.271025,4.44538,1.2048091145000002
0.283105,4.351152,1.23183288696
0.291302,4.287307,1.248901103714
0.30239,4.17073,1.2611870447
0.311121,4.091541,1.272964327461
0.322875,3.990636,1.2884765985
0.331013,3.918269,1.296997976497
0.342352,3.817836,1.3070437902719998
0.35092,3.743604,1.31370551568
0.3626,3.637334,1.3188973084
0.371405,3.556751,1.320995105155
0.38227,3.455309,1.3208609714300001
0.390423,3.379508,1.319437651884
0.401599,3.273909,1.314798580491
0.410641,3.185792,1.308216812672
0.422248,3.073596,1.2978197638080002
0.430193,2.995584,1.288679267712
0.441532,2.881586,1.2723124297519999
0.449996,2.796712,1.258509213152
0.46224,2.670934,1.2346125321599999
0.471282,2.547919,1.2007883621579998
0.48234,2.463464,1.18822722576
0.490388,2.379601,1.166927775188
0.501535,2.261729,1.134336254015
0.509954,2.172196,1.107720038984
0.521235,2.053659,1.0704389488650001
0.529921,1.966032,1.041841643472
0.541972,1.831608,0.992680250976
0.550184,1.743373,0.959175930632
0.561746,1.618318,0.9090836632279999
0.570076,1.490164,0.8495067324640001
0.581504,1.398998,0.813522932992
0.590028,1.312003,0.774118506084
0.600922,1.185907,0.712637606254
0.609446,1.096294,0.6681319931240001
0.621156,0.971352,0.6033611229120001
0.629679,0.869487,0.547497704673
0.64084,0.7442,0.47691312799999996
0.648934,0.653954,0.424372985036
0.661415,0.514406,0.34023584449
0.66933,0.424695,0.28426110434999996
0.681292,0.288485,0.19654252262
0.689281,0.197589,0.136194343509
0.701718,0.058256,0.040879283807999996
0.706031,0.009541,0.006736241770999999
0.706817,0.000301,0.000212751917
0.706758,0.000189,0.00013357726200000002
0.706609,0.000333,0.00023530079700000001
0.706609,0.000189,0.000133549101
0.70658,0.000133,9.397514e-05
0.706565,0.000245,0.000173108425
0.706372,0.000149,0.00010524942799999999
0.706224,0.000181,0.000127826544
0.706061,0.000133,9.390611300000001e-05
0.706002,0.000205,0.00014473041
0.705972,0.000181,0.00012778093200000002
0.705839,0.000165,0.000116463435
0.705779,0.000229,0.00016162339100000002
0.705839,0.000277,0.000195517403
0.705779,6.9e-05,4.8698751e-05
0.705779,0.000181,0.000127745999
0.705839,0.000181,0.000127756859
0.705765,4.5e-05,3.1759425e-05
0.70569,0.000157,0.00011079333
0.705646,0.000325,0.00022933494999999998
0.705631,0.000173,0.000122074163
0.705542,0.000229,0.00016156911800000001
0.705409,0.000269,0.00018975502099999997
0.70535,0.000165,0.00011638275000000001
0.70535,0.000205,0.00014459675
0.705364,0.000173,0.000122027972
0.705335,0.000149,0.000105094915
0.70532,0.000165,0.00011637779999999999
