Voltage (V),Current (A),Power (W)
7.949166,0.0,0.0
7.949166,0.0,0.0
7.949166,0.0,0.0
0.225044,5.041341,1.134523544004
0.291184,8.99093,2.61801496112
0.400858,9.125951,3.658210465958
0.501105,8.136464,4.077222792720001
0.618577,7.082495,4.381068509615
0.695611,6.52895,4.54160943845
0.796332,5.907404,4.704254842128
0.916842,5.29417,4.85391741114
0.981337,5.016653,4.923027205061
1.093249,4.601291,5.030356784458999
1.210809,4.219706,5.109258002154
1.321774,3.901613,5.157050621462
1.388491,3.723713,5.170341987083
1.489405,3.520508,5.24346221774
1.609026,3.259576,5.244742532976001
1.718107,3.078568,5.289309230776
1.786618,2.969975,5.30621079455
1.902771,2.790529,5.309737655858999
2.012652,2.654278,5.342137925256001
2.121363,2.51577,5.33686139451
2.194336,2.454416,5.385813387776
2.302869,2.316925,5.3355747578249995
2.402998,2.236545,5.374413161910001
2.51159,2.150327,5.400739789929999
2.620553,2.058256,5.3937689355680005
2.686708,2.001882,5.378472384456
2.798887,1.924385,5.386136159495
2.913068,1.857289,5.410409152652
3.020519,1.785669,5.393647142211
3.089608,1.73852,5.371345300160001
3.199994,1.691395,5.41245385163
3.300463,1.638353,5.407323457439
3.416141,1.541221,5.265028248161
3.48898,1.501303,5.23801614094
3.594875,1.4393,5.1741035875
3.71116,1.391142,5.162750544720001
3.818241,1.349022,5.150891110302
3.885329,1.315895,5.112685004455
4.002444,1.280725,5.126030091899999
4.102914,1.239462,5.085405992268001
4.221378,1.214807,5.1281595440459995
4.291372,1.192169,5.116040665868
4.40118,1.162005,5.1141931659
4.490502,1.139295,5.11600647609
4.599273,1.100242,5.060313324066
4.715055,1.066122,5.026823866710001
4.785655,1.045934,5.00547927677
4.901392,1.031865,5.0575748560800005
5.010088,0.999755,5.00886052844
5.117539,0.977606,5.002936831634
5.180655,0.972072,5.03596966716
5.301313,0.940706,4.986976946978
5.411788,0.911743,4.934159826484
5.511072,0.885078,4.877728583616
5.57816,0.87936,4.9052107776
5.698581,0.866756,4.939279273236
5.800117,0.852247,4.943132312899
5.915187,0.83881,4.96171800747
5.988441,0.827295,4.9542072970949995
6.1016,0.820673,5.0074183768000005
6.200691,0.804665,4.989479023515
6.299827,0.80115,5.04710640105
6.385458,0.790508,5.047755632664
6.496467,0.780218,5.068660489806
6.610661,0.768415,5.079731072315
6.719461,0.75477,5.07164757897
6.783792,0.749333,5.083319210736001
6.892978,0.731756,5.043978009368
7.011604,0.704787,4.941687348348
7.120909,0.673837,4.798331957833001
7.190028,0.649262,4.668211959336
7.291401,0.602938,4.396262736138
7.409391,0.534481,3.960178711071
7.517539,0.447916,3.367225998724
7.590587,0.399496,3.032409144152
7.700928,0.304131,2.342090933568
7.810394,0.185946,1.452311522724
7.910182,0.064102,0.507058486564
7.955748,0.013737,0.109288110276
7.955614,0.0,0.0
7.953154,0.0,0.0
7.950456,0.0,0.0
7.949433,0.0,0.0
7.948796,0.0,0.0
7.948158,0.0,0.0
7.948025,0.0,0.0
7.947773,0.0,0.0
7.946883,0.0,0.0
7.945506,0.0,0.0
7.944778,0.0,0.0
7.94334,0.0,0.0
7.9426,0.0,0.0
7.942363,0.0,0.0
7.94128,0.0,0.0
7.940599,0.0,0.0
7.939191,0.0,0.0
7.938568,0.0,0.0
7.938302,0.0,0.0
