Voltage (V),Current (A),Power (W)
8.233054,0.0,0.0
8.233054,0.0,0.0
8.233054,0.0,0.0
8.233054,0.0,0.0
2.901639,1.450839,4.209811025121
2.903314,1.452625,4.21742649925
2.899357,1.450102,4.204363384414
2.90118,1.452304,4.21339531872
2.899475,1.449814,4.203699447649999
2.908102,1.451351,4.220676745802
2.901046,1.451103,4.209716553738
2.904441,1.449654,4.2104345134139995
2.904574,1.453906,4.222977566044
2.898378,1.450687,4.204639285686
2.899653,1.449221,4.202238020313
2.910059,1.452416,4.226616252544
2.907879,1.45196,4.222123992839999
2.903596,1.45011,4.210533595559999
2.901728,1.451607,4.212168676896
2.903744,1.453506,4.220609326464
2.902247,1.451015,4.2112039307049995
2.906976,1.451327,4.218972757152
2.90367,1.452585,4.21782748695
2.90447,1.452008,4.21731367576
2.904885,1.451127,4.215357055395001
2.905627,1.451624,4.217877888248
2.898304,1.452488,4.209751780352
2.89574,1.448613,4.1948066086199995
2.907005,1.452472,4.22234336636
2.904619,1.45204,4.21762297276
2.906575,1.453321,4.224186485575
2.909421,1.452625,4.2262976801250005
2.901847,1.453433,4.217640190751
2.900142,1.450959,4.207987136178001
2.902217,1.45023,4.20888215991
2.902899,1.451399,4.213264705701
2.899549,1.449718,4.203528377182
2.902573,1.450927,4.211421535171
2.899297,1.451704,4.208921052088
2.908295,1.452585,4.224545692575
2.908902,1.453954,4.229409698507999
2.909036,1.456917,4.238224002012
2.901595,1.452793,4.215416904835
2.903611,1.450783,4.212509477413
2.901417,1.451231,4.210626294327
2.90155,1.451904,4.2127720512
2.906723,1.455083,4.229523223009
2.90198,1.452905,4.2163012519
2.90367,1.450743,4.212478926809999
2.908339,1.453361,4.226866477379
2.904441,1.450166,4.211921587206
2.906931,1.453017,4.2238201608270005
2.904381,1.450222,4.211997222581999
2.90118,1.45035,4.2077264130000005
2.907049,1.455059,4.229927810891001
2.904174,1.453129,4.220139460445999
2.905627,1.452513,4.2204609906509996
2.905078,1.452352,4.219195843456
2.900261,1.451007,4.208299012827
2.903092,1.451303,4.213266128876
2.903759,1.454706,4.224115639854
2.905567,1.451904,4.218604349568
2.899786,1.44818,4.19941208948
2.903092,1.451664,4.214314145088
2.903507,1.45232,4.21682128624
2.903626,1.453562,4.220600415812
2.904204,1.451071,4.214206202484
2.898112,1.451504,4.206621160447999
2.904529,1.45003,4.21165418587
2.903077,1.45236,4.21631291172
2.908917,1.453217,4.227287635989001
2.909851,1.451712,4.224265614912
2.907553,1.452761,4.223979603833
2.904989,1.45015,4.21266979835
2.897622,1.450815,4.20391346193
2.90536,1.450679,4.21474473944
2.903641,1.450631,4.212111647471
2.904648,1.45393,4.22315486664
2.90324,1.449894,4.20939025656
2.899401,1.449061,4.201408912461
2.90579,1.45228,4.2200207012
2.901832,1.450286,4.208486323952
