Resistance (Ohm),Voltage (V),Current (A),Power (W)
15000,8.194322,0.0,0.0
14900,8.194322,0.0,0.0
14800,8.194322,0.0,0.0
14700,8.190127,0.0,0.0
14600,8.187103,0.0,0.0
14500,8.182285,0.0,0.0
14400,8.1803,0.0,0.0
14300,8.179321,0.0,0.0
14200,8.17947,3.7e-05,0.00030264039
14100,8.180106,2.9e-05,0.000237223074
14000,8.18064,1.3e-05,0.00010634832
13900,8.181767,5.3e-05,0.00043363365100000006
13800,8.181515,3.7e-05,0.00030271605499999996
13700,8.180567,1.3e-05,0.000106347371
13600,8.180092,0.0,0.0
13500,8.179706,0.0,0.0
13400,8.178862,0.0,0.0
13300,8.176875,5e-06,4.088437500000001e-05
13200,8.175171,0.0,0.0
13100,8.174474,0.0,0.0
13000,8.173051,0.0,0.0
12900,8.172147,7.7e-05,0.000629255319
12800,8.170531,0.0,0.0
12700,8.169849,0.0,0.0
12600,8.168826,4.5e-05,0.00036759716999999997
12500,8.167122,0.0,0.0
12400,8.166454,5e-06,4.083227e-05
12300,8.167315,3.7e-05,0.000302190655
12200,8.167833,0.0,0.0
12100,8.169064,2.9e-05,0.000236902856
12000,8.170427,0.0,0.0
11900,8.170665,3.7e-05,0.00030231460499999995
11800,8.170724,0.000101,0.000825243124
11700,8.170665,3.7e-05,0.00030231460499999995
11600,8.171302,7.7e-05,0.000629190254
11500,8.17114,1.3e-05,0.00010622481999999998
11400,8.170902,5e-06,4.085451e-05
11300,8.170753,5e-06,4.0853765e-05
11200,8.17065,0.0,0.0
11100,8.170546,0.0,0.0
11000,8.170115,0.0,0.0
10900,8.169523,0.0,0.0
10800,8.169211,0.0,0.0
10700,8.169004,0.0,0.0
10600,8.168501,0.0,0.0
10500,8.16813,0.0,0.0
10400,8.167729,0.0,0.0
10300,8.167448,0.0,0.0
10200,8.167181,0.0,0.0
10100,8.166218,0.0,0.0
10000,8.166662,3.7e-05,0.000302166494
9900,8.166737,0.000157,0.0012821777089999998
9800,8.166188,7.7e-05,0.000628796476
9700,8.16521,0.0,0.0
9600,8.165758,0.0,0.0
9500,8.1661,5e-06,4.08305e-05
9400,8.166707,0.0,0.0
9300,8.167167,0.0,0.0
9200,8.166425,0.0,0.0
9100,8.165269,0.0,0.0
9000,8.163816,1.3e-05,0.000106129608
8900,8.162779,2.1e-05,0.000171418359
8800,8.161519,0.0,0.0
8700,8.160867,0.0,0.0
8600,8.159399,0.0,0.0
8500,8.158376,0.0,0.0
8400,8.156864,0.0,0.0
8300,8.156286,0.0,0.0
8200,8.155234,0.0,0.0
8100,8.154271,0.0,0.0
8000,8.154345,6.9e-05,0.000562649805
7900,8.1539,0.0,0.0
7800,8.153811,2.9e-05,0.00023646051899999998
7700,8.153455,0.0,0.0
7600,8.153055,4.5e-05,0.00036688747500000004
7500,8.153484,5.3e-05,0.00043213465200000003
7400,8.153055,5e-06,4.0765275000000006e-05
7300,8.152462,0.0,0.0
7200,8.152284,0.0,0.0
7100,8.15218,0.0,0.0
7000,8.15215,2.9e-05,0.00023641235
6900,8.15261,4.5e-05,0.00036686745
6800,8.15307,0.0,0.0
6700,8.153204,0.0,0.0
6600,8.153217,0.0,0.0
6500,8.152195,0.0,0.0
6400,8.15215,0.0,0.0
6300,8.152032,0.0,0.0
6200,8.15135,0.0,0.0
6100,8.151484,0.0,0.0
6000,8.151469,0.0,0.0
5900,8.15101,0.0,0.0
5800,8.149986,0.0,0.0
5700,8.149231,0.0,0.0
5600,8.147985,0.0,0.0
5500,8.147288,0.0,0.0
5400,8.146,0.0,0.0
5300,8.144873,0.0,0.0
5200,8.14468,2.1e-05,0.00017103827999999998
5100,8.144607,2.1e-05,0.000171036747
5000,8.144458,0.0,0.0
4900,8.144265,0.0,0.0
4800,8.142797,0.0,0.0
4700,8.141538,0.0,0.0
4600,8.141093,0.0,0.0
4500,8.141123,0.0,0.0
4400,8.141005,0.0,0.0
4300,8.140826,0.0,0.0
4200,8.140485,0.0,0.0
4100,8.140188,0.0,0.0
4000,8.14007,9.3e-05,0.00075702651
3900,8.14004,0.0,0.0
3800,8.139314,0.0,0.0
3700,8.13795,0.0,0.0
3600,8.137016,0.0,0.0
3500,8.136291,0.0,0.0
3400,8.135534,5.3e-05,0.000431183302
3300,8.134171,4.5e-05,0.00036603769500000003
3200,8.133029,0.000101,0.0008214359290000001
3100,8.132244,0.0,0.0
3000,8.13128,0.000101,0.00082125928
2900,8.12968,0.000133,0.0010812474400000002
2800,8.128493,6.1e-05,0.000495838073
2700,8.127367,0.000133,0.001080939811
2600,8.125751,0.0,0.0
2500,8.125854,0.0,0.0
2400,8.125617,0.0,0.0
2300,8.125751,0.0,0.0
2200,8.126107,7.7e-05,0.0006257102389999999
2100,8.126433,0.0,0.0
2000,8.1267,5.3e-05,0.0004307151
1900,8.126404,2.1e-05,0.000170654484
1800,8.12578,5.3e-05,0.00043066634000000006
1700,8.124891,5.3e-05,0.000430619223
1600,8.124358,0.000101,0.0008205601580000001
1500,8.124373,7.7e-05,0.000625576721
1400,8.123973,0.000109,0.000885513057
1300,8.12329,2.9e-05,0.00023557541000000004
1200,8.123128,0.000181,0.0014702861679999999
1100,8.12258,0.000357,0.0028997610599999996
1000,8.121868,0.000581,0.004718805308
900,8.114471,0.009317,0.075602526307
800,8.113182,0.01067,0.08656765194
700,8.111358,0.012544,0.101748874752
600,8.110172,0.01517,0.12303130924
500,8.108215,0.018637,0.151112802955
400,8.106466,0.021319,0.172821748654
300,8.101012,0.02903,0.23517237836000002
200,8.090458,0.04201,0.33988014058
100,8.063436,0.075127,0.6057817563719999
